latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-20.74369,-50.53958,323.84,0.42,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,289.73,1.56,N
-20.5993,-51.61068,304.03,0.39,0.36,2023-04-30,444,N,VIIRS,n,2.0NRT,293.24,1.02,N
-20.58714,-58.17687,305.74,0.4,0.44,2023-04-30,444,N,VIIRS,n,2.0NRT,294.58,0.88,N
-20.5864,-58.1807,344.69,0.4,0.44,2023-04-30,444,N,VIIRS,n,2.0NRT,295.97,4.3,N
-20.58599,-58.16075,328.88,0.4,0.44,2023-04-30,444,N,VIIRS,n,2.0NRT,295.31,2.46,N
-20.58567,-58.18452,321.72,0.4,0.44,2023-04-30,444,N,VIIRS,n,2.0NRT,295.4,4.3,N
-20.58526,-58.16456,311.4,0.4,0.44,2023-04-30,444,N,VIIRS,n,2.0NRT,294.91,1.66,N
-20.58161,-58.18364,307.02,0.4,0.44,2023-04-30,444,N,VIIRS,n,2.0NRT,294.57,0.6,N
-20.32652,-47.73316,304.06,0.55,0.43,2023-04-30,444,N,VIIRS,n,2.0NRT,290.74,0.94,N
-20.32419,-59.47594,308.44,0.48,0.48,2023-04-30,444,N,VIIRS,n,2.0NRT,294.31,1.27,N
-20.32327,-59.48055,312.08,0.48,0.48,2023-04-30,444,N,VIIRS,n,2.0NRT,294.47,1.27,N
-19.62614,-54.29905,301.44,0.41,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,291.42,0.77,N
-19.62345,-54.29874,309.49,0.41,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,292.27,1.5,N
-18.81388,-52.04304,306.52,0.38,0.36,2023-04-30,444,N,VIIRS,n,2.0NRT,291.37,0.54,N
-18.79063,-52.58257,320.98,0.38,0.36,2023-04-30,444,N,VIIRS,n,2.0NRT,290.47,1.63,N
-18.69346,-52.34117,303.08,0.38,0.36,2023-04-30,444,N,VIIRS,n,2.0NRT,290.21,0.53,N
-18.4285,-62.28735,319.26,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,292.8,3.15,N
-18.42786,-62.29674,312.38,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,292.95,2.03,N
-18.42707,-62.3005,323.09,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.27,2.03,N
-18.42606,-62.29858,337.78,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.37,4.99,N
-18.42475,-62.28418,305.38,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.35,2.06,N
-18.42397,-62.28792,354.73,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,294.15,8.32,N
-18.42303,-62.28605,338.49,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.67,3.15,N
-18.42222,-62.28979,316.27,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.27,3.15,N
-18.41929,-62.28286,309.77,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.54,2.06,N
-18.09602,-64.64564,310.54,0.56,0.69,2023-04-30,444,N,VIIRS,n,2.0NRT,289.21,2.08,N
-17.93496,-50.29878,329.9,0.4,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,292.24,2.53,N
-17.91682,-50.51445,306.86,0.4,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,290.85,0.73,N
-17.76188,-62.04966,312.92,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.29,2.11,N
-17.7611,-62.05336,325.45,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.6,2.11,N
-17.76031,-62.05708,343.3,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.92,4.88,N
-17.75952,-62.06082,328.99,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.71,4.88,N
-17.75814,-50.96351,307.19,0.39,0.36,2023-04-30,444,N,VIIRS,n,2.0NRT,290.91,0.6,N
-17.75642,-62.0484,326.46,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.52,5.07,N
-17.75564,-62.0521,327.63,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.84,5.07,N
-17.75485,-62.05581,367,0.39,0.59,2023-04-30,444,N,VIIRS,h,2.0NRT,295.08,7.59,N
-17.75406,-62.05954,346.24,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,294.37,7.59,N
-17.75327,-62.06327,349.97,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,294.25,5.64,N
-17.75018,-62.05085,351.28,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.77,5.07,N
-17.74939,-62.05457,337.56,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,294.06,7.59,N
-17.74859,-62.05828,311.28,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.14,7.59,N
-17.7478,-62.06201,321.98,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,292.91,5.64,N
-17.74472,-62.04958,322.14,0.39,0.59,2023-04-30,444,N,VIIRS,n,2.0NRT,293.09,1.65,N
-17.67019,-60.63171,318.27,0.64,0.54,2023-04-30,444,N,VIIRS,n,2.0NRT,292.86,2.18,N
-17.66519,-60.63058,306.02,0.64,0.54,2023-04-30,444,N,VIIRS,n,2.0NRT,292.47,2.18,N
-17.5159,-60.67717,306.57,0.32,0.55,2023-04-30,444,N,VIIRS,n,2.0NRT,292.39,0.49,N
-17.51528,-60.68023,303.84,0.32,0.55,2023-04-30,444,N,VIIRS,n,2.0NRT,292.87,0.49,N
-17.48771,-48.17432,304.95,0.48,0.4,2023-04-30,444,N,VIIRS,n,2.0NRT,289.46,0.7,N
-17.48399,-48.17376,300.25,0.48,0.4,2023-04-30,444,N,VIIRS,n,2.0NRT,289.88,0.49,N
-17.42341,-53.75592,307.02,0.41,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,292.57,1.51,N
-17.42277,-53.75979,309.76,0.41,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,292.77,1.28,N
-17.39242,-53.79403,305.54,0.41,0.37,2023-04-30,444,N,VIIRS,n,2.0NRT,291.39,1.08,N
-17.27162,-49.00066,309.56,0.44,0.39,2023-04-30,444,N,VIIRS,n,2.0NRT,290.08,1.39,N
-17.26746,-49.00432,308.12,0.44,0.39,2023-04-30,444,N,VIIRS,n,2.0NRT,289.98,0.86,N
-16.38555,-61.35523,309.57,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.34,1.23,N
-16.38016,-61.35416,315.61,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,291.99,1.23,N
-16.37937,-61.2769,314.53,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.35,1.42,N
-16.37858,-61.26924,304.88,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.06,0.69,N
-16.37718,-61.27624,318.43,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.7,1.73,N
-16.37551,-61.26863,304.38,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.37,1.14,N
-16.37479,-61.27206,316.03,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.85,1.42,N
-16.37477,-61.35308,330.75,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.47,2.94,N
-16.37406,-61.27556,307.96,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.91,1.42,N
-16.37326,-61.26797,316.7,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.54,7.02,N
-16.37257,-61.27139,355.83,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,295.77,66.44,N
-16.37187,-61.27488,367,0.37,0.58,2023-04-30,444,N,VIIRS,h,2.0NRT,294.58,66.44,N
-16.37117,-61.27839,325.05,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.84,129.29,N
-16.37018,-61.26739,337.55,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,292.89,17.03,N
-16.36947,-61.27079,318.28,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,301.83,52.5,N
-16.36875,-61.27426,324.18,0.37,0.58,2023-04-30,444,N,VIIRS,n,2.0NRT,302.94,52.5,N
