datetime;bateria;nivel;dist
2023-10-31 10:08:15;97;1;145
2023-10-31 10:09:10;97;1;145
2023-10-31 10:10:11;97;0;146
2023-10-31 10:11:11;97;0;146
2023-10-31 10:12:11;97;1;145
2023-10-31 10:13:12;97;0;146
2023-10-31 10:14:12;97;1;145
2023-10-31 10:15:12;97;1;145
2023-10-31 10:16:13;97;1;145
2023-10-31 10:17:13;97;2;144
2023-10-31 10:18:14;97;1;145
2023-10-31 10:19:09;97;1;145
2023-10-31 10:20:14;97;1;145
2023-10-31 10:21:09;97;1;145
2023-10-31 10:22:15;97;1;145
2023-10-31 10:23:10;97;1;145
2023-10-31 10:24:11;97;1;145
2023-10-31 10:25:11;97;0;146
2023-10-31 10:26:11;97;1;145
2023-10-31 10:27:12;97;1;145
2023-10-31 10:28:12;97;1;145
2023-10-31 10:29:12;97;0;146
2023-10-31 10:30:13;97;0;146
2023-10-31 10:31:13;97;1;145
2023-10-31 10:32:14;97;1;145
2023-10-31 10:33:09;97;1;145
2023-10-31 10:34:14;97;1;145
2023-10-31 10:35:10;97;1;145
2023-10-31 10:36:10;97;0;146
2023-10-31 10:37:10;97;1;145
2023-10-31 10:38:11;97;1;145
2023-10-31 10:39:11;97;1;145
2023-10-31 10:40:11;97;1;145
2023-10-31 10:41:12;97;1;145
2023-10-31 10:42:12;97;1;145
2023-10-31 10:43:13;97;1;145
2023-10-31 10:44:13;97;1;145
2023-10-31 10:45:13;97;0;146
2023-10-31 10:46:14;97;1;145
2023-10-31 10:47:09;97;0;146
2023-10-31 10:48:15;97;1;145
2023-10-31 10:49:10;97;0;146
2023-10-31 10:50:10;97;1;145
2023-10-31 10:51:10;97;1;145
2023-10-31 10:52:11;97;1;145
2023-10-31 10:53:11;97;1;145
2023-10-31 10:54:12;97;1;145
2023-10-31 10:55:12;97;0;146
2023-10-31 10:56:12;97;1;145
2023-10-31 10:57:13;97;1;145
2023-10-31 10:58:13;97;1;145
2023-10-31 10:59:14;97;0;146
2023-10-31 11:00:09;97;1;145
2023-10-31 11:01:14;97;1;145
2023-10-31 11:02:10;97;1;145
2023-10-31 11:03:10;97;1;145
2023-10-31 11:04:10;97;1;145
2023-10-31 11:05:11;97;1;145
2023-10-31 11:06:11;97;1;145
2023-10-31 11:07:11;97;1;145
2023-10-31 11:08:12;97;1;145
2023-10-31 11:09:12;97;2;144
2023-10-31 11:10:13;97;1;145
2023-10-31 11:11:13;97;0;146
2023-10-31 11:12:13;97;1;145
2023-10-31 11:13:14;97;0;146
2023-10-31 11:14:09;97;1;145
2023-10-31 11:15:15;97;0;146
2023-10-31 11:16:10;97;1;145
2023-10-31 11:17:10;97;0;146
2023-10-31 11:18:10;97;2;144
2023-10-31 11:19:11;97;1;145
2023-10-31 11:20:11;97;0;146
2023-10-31 11:21:12;97;2;144
2023-10-31 11:22:12;97;1;145
2023-10-31 11:23:12;97;1;145
2023-10-31 11:24:13;97;1;145
2023-10-31 11:25:13;97;1;145
2023-10-31 11:26:14;97;1;145
2023-10-31 11:27:09;97;1;145
2023-10-31 11:28:14;97;1;145
2023-10-31 11:29:09;97;1;145
2023-10-31 11:30:15;97;1;145
2023-10-31 11:31:10;97;1;145
2023-10-31 11:32:11;97;1;145
2023-10-31 11:33:11;97;1;145
2023-10-31 11:34:11;97;1;145
2023-10-31 11:35:12;97;1;145
2023-10-31 11:36:12;97;1;145
2023-10-31 11:37:12;97;1;145
2023-10-31 11:38:13;97;1;145
2023-10-31 11:39:13;97;0;146
2023-10-31 11:40:14;97;0;146
2023-10-31 11:41:09;97;1;145
2023-10-31 11:42:14;97;1;145
2023-10-31 11:43:09;97;1;145
2023-10-31 11:44:15;97;0;146
2023-10-31 11:45:10;97;0;146
2023-10-31 11:46:11;97;1;145
2023-10-31 11:47:11;97;1;145
2023-10-31 11:48:11;97;1;145
2023-10-31 11:49:12;97;1;145
2023-10-31 11:50:12;97;1;145
2023-10-31 11:51:12;97;2;144
2023-10-31 11:52:13;97;0;146
2023-10-31 11:53:13;97;1;145
2023-10-31 11:54:13;97;1;145
2023-10-31 11:55:14;97;0;146
2023-10-31 11:56:09;97;1;145
2023-10-31 11:57:15;97;1;145
2023-10-31 11:58:10;97;0;146
2023-10-31 11:59:10;97;1;145
