datetime;voltaje;distancia
2022-12-27 11:45:06;3.96;243.0
2022-12-27 11:46:05;3.96;243.0
2022-12-27 11:47:09;3.96;243.0
2022-12-27 11:48:08;3.96;243.0
2022-12-27 11:49:07;3.96;243.0
2022-12-27 11:50:06;3.96;243.0
2022-12-27 11:51:05;3.96;243.0
2022-12-27 11:52:08;3.97;243.0
2022-12-27 11:53:07;3.96;243.0
2022-12-27 11:54:06;3.96;243.0
2022-12-27 11:55:05;3.96;243.0
2022-12-27 11:56:09;3.96;243.0
2022-12-27 11:57:08;3.96;243.0
2022-12-27 11:58:07;3.96;243.0
2022-12-27 11:59:06;3.96;243.0
2022-12-27 12:00:05;3.96;243.0
2022-12-27 12:01:08;3.97;243.0
2022-12-27 12:02:07;3.97;243.0
2022-12-27 12:03:06;3.97;243.0
2022-12-27 12:04:05;3.96;243.0
2022-12-27 12:05:09;3.96;243.0
2022-12-27 12:06:08;3.96;243.0
2022-12-27 12:07:07;3.96;243.0
2022-12-27 12:08:06;3.96;243.0
2022-12-27 12:09:05;3.96;243.0
2022-12-27 12:10:09;3.96;243.0
2022-12-27 12:11:08;3.96;243.0
2022-12-27 12:12:06;3.96;243.0
2022-12-27 12:13:05;3.96;243.0
2022-12-27 12:14:04;3.96;243.0
2022-12-27 12:15:08;3.96;242.0
2022-12-27 12:16:07;3.96;243.0
2022-12-27 12:17:06;3.96;243.0
2022-12-27 12:18:05;3.96;243.0
2022-12-27 12:19:09;3.96;243.0
2022-12-27 12:20:08;3.96;243.0
2022-12-27 12:21:07;3.97;243.0
2022-12-27 12:22:06;3.97;242.0
2022-12-27 12:23:05;3.96;243.0
2022-12-27 12:24:08;3.97;243.0
2022-12-27 12:25:07;3.97;243.0
2022-12-27 12:26:06;3.97;243.0
2022-12-27 12:27:05;3.97;243.0
2022-12-27 12:28:09;3.96;243.0
2022-12-27 12:29:08;3.96;243.0
2022-12-27 12:30:07;3.97;243.0
2022-12-27 12:31:06;3.96;243.0
2022-12-27 12:32:05;3.97;243.0
2022-12-27 12:33:09;3.97;243.0
2022-12-27 12:34:08;3.97;243.0
2022-12-27 12:35:07;3.97;243.0
2022-12-27 12:36:06;3.97;243.0
2022-12-27 12:37:05;3.97;242.0
2022-12-27 12:38:09;3.96;243.0
2022-12-27 12:39:08;3.96;243.0
2022-12-27 12:40:07;3.97;243.0
2022-12-27 12:41:06;3.97;243.0
2022-12-27 12:42:05;3.97;243.0
2022-12-27 12:43:08;3.96;243.0
2022-12-27 12:44:07;3.96;242.0
2022-12-27 12:45:07;3.96;243.0
2022-12-27 12:46:06;3.96;243.0
2022-12-27 12:47:05;3.96;243.0
2022-12-27 12:48:08;3.96;243.0
2022-12-27 12:49:07;3.96;243.0
2022-12-27 12:50:06;3.96;243.0
2022-12-27 12:51:05;3.96;243.0
2022-12-27 12:52:05;3.96;243.0
2022-12-27 12:53:08;3.96;243.0
2022-12-27 12:54:07;3.96;242.0
2022-12-27 12:55:06;3.97;242.0
2022-12-27 12:56:05;3.96;243.0
2022-12-27 12:57:09;3.96;243.0
2022-12-27 12:58:08;3.96;243.0
2022-12-27 12:59:07;3.96;243.0
2022-12-27 13:00:06;3.96;243.0
2022-12-27 13:01:05;3.96;243.0
2022-12-27 13:02:09;3.96;243.0
2022-12-27 13:03:08;3.97;243.0
2022-12-27 13:04:07;3.97;243.0
2022-12-27 13:05:06;3.97;243.0
2022-12-27 13:06:05;3.97;243.0
2022-12-27 13:07:09;3.97;242.0
2022-12-27 13:08:08;3.97;242.0
2022-12-27 13:09:07;3.97;242.0
2022-12-27 13:10:06;3.97;243.0
2022-12-27 13:11:05;3.96;243.0
2022-12-27 13:12:09;3.96;243.0
2022-12-27 13:13:08;3.97;243.0
2022-12-27 13:14:07;3.97;243.0
2022-12-27 13:15:06;3.97;243.0
2022-12-27 13:16:05;3.97;243.0
2022-12-27 13:17:08;3.97;242.0
2022-12-27 13:18:07;3.97;243.0
2022-12-27 13:19:07;3.97;243.0
2022-12-27 13:20:06;3.97;243.0
2022-12-27 13:21:05;3.97;243.0
2022-12-27 13:22:08;3.97;243.0
2022-12-27 13:23:07;3.97;243.0
2022-12-27 13:24:06;3.97;242.0
2022-12-27 13:25:06;3.97;242.0
2022-12-27 13:26:05;4.2;242.0
2022-12-27 13:27:08;3.97;242.0
2022-12-27 13:28:07;3.97;242.0
2022-12-27 13:29:07;3.97;242.0
2022-12-27 13:30:06;4.19;242.0
2022-12-27 13:31:05;4.19;242.0
2022-12-27 13:32:08;4.19;243.0
2022-12-27 13:33:08;4.2;243.0
2022-12-27 13:34:07;3.97;243.0
2022-12-27 13:35:06;4.19;243.0
2022-12-27 13:36:05;3.97;243.0
2022-12-27 13:37:09;3.97;243.0
2022-12-27 13:38:08;3.97;243.0
2022-12-27 13:39:07;3.97;242.0
2022-12-27 13:40:06;3.97;242.0
